,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
1281,152363,183300,61963.0559,7000.0,3,IN,0.3306930693,0.1025641026,0.5752,40200.0,2,15713.0
1282,152381,183500,33698.857410000004,8006.0,3,IN,0.45323741009999996,0.6496674057999999,0.6667,31600.0,2,14262.0
1283,152390,183600,96805.81844,6514.0,3,IN,0.17047451670000002,,0.6364,46500.0,2,24885.0
1284,152415,2201800,14743.294240000001,3611.0,1,IN,0.5356234097,0.7045009784999999,0.516,21700.0,3,16265.0
1286,152497,625700,36581.47316,6700.0,1,IN,0.4431818182,0.6041666667,0.8468,48200.0,2,27989.0
1287,152530,183800,80802.04051,7000.0,3,IN,0.142461964,0.0502035278,0.4344,36500.0,2,24330.0
1288,152567,183900,57034.37899,5628.0,3,IN,0.37837837840000005,0.2768222768,0.6768,40500.0,2,23512.0
1289,152600,184200,75300.3135,10179.5,3,IN,0.2660418169,0.1091405184,0.6657,49000.0,2,19779.0
1291,152637,184300,29211.574210000002,7839.0,2,IN,0.4794059406,0.33740191799999997,0.3,32000.0,1,10377.0
1292,152673,184400,81177.03989,5750.0,3,IN,,,0.7516,52600.0,2,23946.0
1293,152798,3069100,59639.81089,11289.0,3,IA,0.2895522388,0.42528735630000003,0.83,49100.0,2,29032.0
1294,152822,396300,40664.7072,5843.0,3,IA,0.4278846154,0.4097633136,0.848,37000.0,2,12110.0
1295,152992,184600,56710.89476,9500.0,3,IA,0.36953242840000006,0.2859174964,0.7096,38100.0,2,18493.0
1296,153001,184700,37434.41953,10332.0,3,IA,0.39820527200000005,0.5694736842,0.8333,38300.0,2,17505.0
1297,153074,758800,29421.259430000002,3117.5,1,IA,0.4896551724,0.4060606061,0.5272,19400.0,3,10404.0
1298,153083,2090300,29295.603810000004,3650.0,1,IA,0.44347826090000003,0.44799999999999995,0.4752,19900.0,3,11175.0
1300,153108,185000,78529.74796000001,10792.0,3,IA,0.20114942530000002,0.0348675035,0.7319,41800.0,2,21309.0
1301,153126,185200,66522.98567000001,7500.0,3,IA,0.375,0.2375886525,0.7804,41000.0,2,21030.0
1302,153144,185400,74928.74681,8508.0,3,IA,0.2296072508,0.0485714286,0.8386,42400.0,2,20003.0
1303,153162,185600,64285.177639999994,7250.0,3,IA,0.23684210530000002,0.0311958406,0.7226,40900.0,2,18237.0
1305,153214,712000,25647.78374,4000.0,2,IA,0.4300395257,0.5225926553,0.4459,34100.0,1,11136.0
1307,153250,185900,71899.9018,6500.0,3,IA,0.2153110048,0.0325077399,0.6612,38100.0,2,21983.0
1308,153269,186000,93351.0156,8250.0,3,IA,0.1443530292,0.0957215373,0.5532,55700.0,2,25738.0
1309,153278,189100,49692.852739999995,8250.0,3,IA,0.36565096950000003,0.1967632027,0.9206,37700.0,2,13500.0
1310,153296,186200,29388.5949,5500.0,2,IA,0.4004944376,0.27638737760000004,0.5134,33900.0,1,11456.0
1311,153302,2328900,41766.344860000005,5500.0,1,IA,,0.14876033060000002,0.5141,31000.0,2,14536.0
1312,153311,407500,21449.96459,5000.0,2,IA,0.46183109310000003,0.5708378672,0.4038,29300.0,1,9103.0
1313,153320,712100,49087.962439999996,5500.0,3,IA,,0.09150326800000001,0.5743,29800.0,2,15433.0
1314,153339,2262500,21796.159669999997,,1,IA,0.4642857143,0.5735294117999999,0.7037,16000.0,3,6678.0
1315,153366,186600,48330.35499,8194.0,3,IA,0.3777267509,0.3574468085,0.6922,36300.0,2,13564.0
1316,153375,186700,48336.87672,7387.5,3,IA,0.3390334572,0.35173824130000003,0.8702,40200.0,2,17404.0
1317,153384,186800,65942.31278,5500.0,3,IA,0.140625,,0.4454,43100.0,2,19005.0
1318,153409,458606,17222.63754,7834.0,2,IA,0.5403520069,0.9182636501000001,0.4161,33400.0,3,16139.0
1319,153418,458604,17222.63754,7834.0,2,IA,0.5403520069,0.9182636501000001,0.4279,33400.0,3,19677.0
1320,153427,1206400,17943.89146,4750.0,1,IA,0.49152542369999996,0.7202380951999999,0.884,35200.0,3,14628.0
1321,153445,459500,31982.26405,5500.0,2,IA,0.38737201369999996,0.40791476409999994,0.5433,34000.0,1,11495.0
1323,153472,840300,25345.06685,7667.0,2,IA,0.5076071923,0.49602446479999995,0.6602,31300.0,1,10676.0
1324,153524,186500,25677.482659999998,5379.0,2,IA,0.4473061761,0.47991120979999996,0.3736,33200.0,1,7090.0
1325,153533,186400,32425.342610000003,5500.0,2,IA,0.3870532704,0.3738601824,0.4326,30400.0,1,10162.0
1328,153597,826000,14939.105769999998,4693.0,1,IA,0.4666666667,0.6910569106000001,0.6144,18600.0,3,11310.0
1329,153603,186900,76590.42313,7500.0,3,IA,0.2162108797,0.0995453684,0.5646,47800.0,1,13703.0
1330,153621,187100,44625.018189999995,7416.0,3,IA,0.4230769231,0.2873051225,0.7503,33700.0,2,19905.0
1331,153630,459800,27688.475039999998,5250.0,2,IA,0.4424982715,0.4133842444,0.5346,32500.0,1,10106.0
1332,153658,189200,71925.19047,9500.0,3,IA,0.2270770836,0.15939680960000002,0.4853,49100.0,1,16056.0
1333,153737,407600,27937.657489999998,5500.0,2,IA,0.40494840229999995,0.4440593523,0.4775,33700.0,1,11139.0
1334,153746,1300600,24206.52506,4750.0,1,IA,0.44444444439999997,0.5098039216,0.6868,19300.0,3,14343.0
1335,153764,2274100,25749.66074,4750.0,1,IA,0.3941176471,0.5252525253,0.7769,21400.0,3,13830.0
1336,153773,765900,23819.81916,4750.0,1,IA,0.3986013986,0.4394904459,0.875,19200.0,3,11167.0
1338,153825,187300,89071.43707,7118.5,3,IA,0.22773722629999998,0.045961002800000005,0.7464,42000.0,2,19207.0
